country_code,en_plural,en_article,fr_feminine,fr_plural,fr_article,es_feminine,es_plural,es_article,pt_feminine,pt_plural,pt_article
ABW,,,,,,,,,,,
AFG,,,,,,,,,,,
AGO,,,,,,1,,,1,,0
ALB,,,1,,,1,,,1,,
AND,,,1,,,1,,,1,,
ARE,1,1,,1,,,1,1,,1,
ARG,,,,,,1,,,1,,
ARM,,,1,,,1,,,1,,
ASM,,,1,1,,,,,,,
ATG,,,,,,,,,,,
AUS,,,1,,,1,,,1,,
AUT,,,1,,,1,,,1,,
AZE,,,,,,,,,,,
BDI,,,,,,,,,,,
BEL,,,1,,,1,,,1,,
BEN,,,,,,,,,,,
BFA,,,,,,1,,,,,
BGD,,,,,,,,,,,
BGR,,,1,,,1,,,,,
BHR,,,,,0,,,,,,
BHS,1,1,1,1,,,1,,,1,
BIH,,,1,,,1,,,,,
BLR,,,,,,1,,,,,
BLZ,,,,,,,,,,,
BMU,,,,,,,,,1,1,
BOL,,,1,,,1,,,,,
BRA,,,,,,,,,,,
BRB,1,,,,,,,,,,
BRN,,,,,0,,,,,,
BTN,,,,,,,,,,,
BWA,,,,,,1,,,,,
CAF,,1,1,,,1,,,,,
CAN,,,,,,,,,,,
CHE,,,1,,,1,,,,,
CHI,1,1,,,,,,,,,
CHL,,,,,,,,,,,
CHN,,,1,,,1,,,,,
CIV,,,,,,,,,,,
CMR,,,,,,,,,,,
COD,,1,1,,,1,,,,,
COG,,1,1,,,1,,,,,
COK,,,,,,,,,,,
COL,,,1,,,,,,,,
COM,,,,,,,,,,,
CPV,,,,,,,,,,,0
CRI,,,,,,1,,,1,,
CUB,,,,,0,1,,,1,,0
CUW,,,,,,,,,,,
CYM,1,1,,,,,,,,,
CYP,,,1,,0,1,,,1,,
CZE,,1,,,,1,,,,,
DEU,,,1,,,1,,,,,
DJI,,,,,0,,,,,,
DMA,,,,,,1,,,1,,
DNK,,,,,,1,,,,,
DOM,,,1,,,1,,1,,,
DZA,,,1,,,1,,,1,,
ECU,,,,,,,,,,,
EGY,,,1,,,,,,,,
ERI,,,1,,,1,,,,,
ESP,,,1,,,1,,,,,
EST,,,1,,,1,,,,,
ETH,,,1,,,1,,,,,
FIN,,,1,,,1,,,,,
FJI,,,1,1,,,,,,,
FRA,,,,,,1,,,,,
FRO,1,1,1,1,,1,1,,,1,
FSM,,,,,,,,,,,
GAB,,,,,,,,,,,
GBR,,1,,,,,,,,,
GEO,,,1,,,1,,,1,,
GHA,,,,,,1,,,,,
GIB,,,,,,,,,,,
GIN,,,1,,,1,,,1,,
GMB,,,1,,,1,,,,,
GNB,,,1,,,1,,,,,
GNQ,,,1,,,1,,,1,,
GRC,,,1,,,1,,,,,
GRD,,,,,,1,,,,,
GRL,,,,,,1,,,,,
GTM,,,,,,1,,,,,
GUM,,,1,,,1,,,,,
GUY,,,1,,,1,,,,,
HKG,,,,,,,,,,,
HND,,,,,,1,,,,,
HRV,,,1,,,1,,,1,,
HTI,,,,,0,,,,,,
HUN,,,1,,,1,,,,,
IDN,,,1,,,1,,,,,
